addr_state,annual_inc,application_type,desc,dti,earliest_cr_line,grade,home_ownership,initial_list_status,installment,int_rate,issue_d,loan_amnt,loan_status,mort_acc,open_acc,pub_rec,pub_rec_bankruptcies,purpose,revol_bal,revol_util,sub_grade,term,total_acc,verification_status,zip_code
CA,25200.0,Individual,  Borrower added on 02/20/13 > car and bills<br><br> Borrower added on 02/20/13 > bills and car<br>,28.81,2001-07-01,B,RENT,f,173.68,14.09,2013-03-01,5075.0,0,0.0,8.0,0.0,0.0,debt_consolidation,15975.0,37.6,B5, 36 months,22.0,Verified,936xx
NM,48000.0,Individual,  Borrower added on 11/08/13 > Pay off certain high interest credit cards and balance on car.  Make 1 monthly payment that is less money than I currently pay monthly.<br>,21.75,Jan-2007,C,MORTGAGE,w,349.89,15.1,2013-11-01,14675.0,0,2.0,11.0,0.0,0.0,debt_consolidation,9364.0,48.5,C2, 60 months,16.0,Verified,871xx
RI,48000.0,Individual,  Borrower added on 03/13/14 > To pay a credit cards off and have one payment I do not want to touch my saving account because that for emergency purpose only<br>,12.95,1999-11-01,B,RENT,f,151.61,12.99,2014-03-01,4500.0,0,0.0,14.0,0.0,0.0,debt_consolidation,5968.0,36.2,B5, 36 months,30.0,Not Verified,029xx
VA,85500.0,Individual,"  Borrower added on 05/23/12 > I plan to use these funds to pay off my outstanding debt and consolidate to one monthly bill which I can pay easily. My job pays well but the interest from credit cards is a bit much. Despite that, I never miss a payment, and keep my Credit score in the 700-720 range constantly.<br>",8.63,2007-09-01,B,RENT,f,340.18,13.67,2012-06-01,10000.0,0,0.0,6.0,0.0,0.0,debt_consolidation,11156.0,69.3,B5, 36 months,9.0,Source Verified,223xx
FL,69000.0,Individual,  Borrower added on 07/21/12 > I recently bought a home and used one of my credit cards to quickly finance some repairs necessary for lower insurance rates and increased energy efficiency. I'd like to refi at a lower interest rate.  I've worked in progressively responsible positions with the same company for nearly five years.<br>,20.16,2002-03-01,C,MORTGAGE,f,353.01,16.29,2012-08-01,10000.0,1,1.0,18.0,0.0,0.0,credit_card,13991.0,88.6,C4, 36 months,28.0,Not Verified,349xx
VA,41000.0,Individual,  Borrower added on 04/30/13 > I am going to use this loan to payoff one card entirely and reduce another one by half. I recently paid off a $6000 loan and was never late. I have a stable job and have been with our company over 6 yrs. This loan would benefit me by reducing high interest charges. Thanks for your kind consideration<br>,16.19,Jan-2001,D,RENT,f,127.86,18.75,2013-05-01,3500.0,1,0.0,5.0,0.0,0.0,credit_card,7181.0,80.7,D3, 36 months,14.0,Not Verified,241xx
OR,120000.0,Individual,"  Borrower added on 11/04/12 > I actually have a credit card that has an interest rate greater than this and simply don't have the free cash on hand to just pay it off outright, so this loan makes sense for me at this time.<br>",25.73,1994-12-01,B,MORTGAGE,f,665.44,12.12,2012-11-01,20000.0,1,3.0,11.0,0.0,0.0,debt_consolidation,25580.0,80.9,B3, 36 months,32.0,Not Verified,970xx
VA,38000.0,Individual,  Borrower added on 12/08/12 > I'm helping my brother in his wedding. There is a good reason why I'm doing this. He always stood by myside when I needed him the most.<br>,20.62,2008-02-01,D,RENT,f,291.19,18.49,2012-12-01,8000.0,1,0.0,8.0,0.0,0.0,wedding,4058.0,21.4,D2, 36 months,11.0,Not Verified,220xx
TN,54000.0,Individual,  Borrower added on 07/06/13 > Consolidate my credit card payments to one payment with lower interest.<br>,16.64,2003-04-01,C,MORTGAGE,f,454.55,13.68,2013-07-01,19675.0,1,1.0,11.0,3.0,0.0,credit_card,16394.0,38.5,C1, 60 months,16.0,Source Verified,378xx
CT,39000.0,Individual,"  Borrower added on 06/27/12 > I am using this loan as a consolidation. I am going to pay off credit cards, doctor bills and my car so I can have 1 easy monthly pymt and save money. The only reason why I have credit card amounts now because I was laid off last year. I am now at a very stable job and on my way to being debt free.<br>",19.02,Aug-2000,D,RENT,f,309.64,18.75,2012-07-01,12000.0,0,0.0,9.0,0.0,0.0,debt_consolidation,8176.0,56.0,D3, 60 months,21.0,Verified,060xx
