loan_amnt,term,int_rate,installment,grade,sub_grade,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,zip_code,addr_state,desc
6300.0, 36 months,15.31,219.35,C,C2,RENT,36000.0,Verified,2012-11-01,0,debt_consolidation,29.13,Aug-2002,11.0,0.0,15017.0,55.6,23.0,w,Individual,0.0,0.0,945xx,CA,  Borrower added on 10/23/12 > I realized I really need to get fiancially straight and consolidate the rest of my debt to be secure for my family.<br>
20925.0, 36 months,13.68,711.92,C,C1,MORTGAGE,55000.0,Verified,2013-07-01,1,debt_consolidation,19.05,Oct-1991,10.0,0.0,28344.0,76.2,28.0,f,Individual,4.0,0.0,296xx,SC,  Borrower added on 06/29/13 > This loan would be used to consolidate the debt balances on consumer credit cards that were used as a business investment.<br>
3600.0, 36 months,17.77,129.74,D,D1,RENT,31000.0,Not Verified,2012-07-01,1,other,12.97,Dec-2007,9.0,0.0,476.0,14.9,10.0,f,Individual,0.0,0.0,939xx,CA,  Borrower added on 07/05/12 > Some of this money will be used to pay off some small doctor bills and the rest will be going towards my wedding in September.<br>
10000.0, 36 months,13.11,337.47,B,B4,RENT,40000.0,Not Verified,2012-12-01,1,credit_card,24.81,Jun-2001,7.0,0.0,14133.0,63.1,19.0,f,Individual,0.0,0.0,967xx,HI,  Borrower added on 12/12/12 > To pay off my credit cards<br>
10000.0, 36 months,14.47,344.07,C,C2,RENT,35000.0,Not Verified,2013-12-01,1,credit_card,16.81,Aug-2005,14.0,0.0,7366.0,42.6,19.0,f,Individual,0.0,0.0,331xx,FL,"  Borrower added on 12/04/13 > This loan will allow me to refinance my credit card debt so that I may pay off my credit card debt, and less of the money I pay monthly will go towards the principal and not the interest. In turn I will save more money.<br>"
7675.0, 36 months,13.67,261.09,B,B5,OWN,33176.0,Not Verified,2013-10-01,0,debt_consolidation,15.99,Jan-1997,15.0,0.0,10870.0,28.2,23.0,w,Individual,0.0,0.0,402xx,KY,  Borrower added on 10/04/13 > To pay off credit card debt<br>
12000.0, 36 months,6.62,368.45,A,A2,RENT,116000.0,Not Verified,2012-08-01,1,major_purchase,1.43,Jul-2007,5.0,0.0,4693.0,12.5,9.0,f,Individual,0.0,0.0,905xx,CA,"  Borrower added on 07/27/12 > I could have used my credit cards for the purchase, just didn't want to pay a high interest rate.<br>"
16000.0, 36 months,6.03,486.97,A,A1,MORTGAGE,100000.0,Verified,2012-12-01,0,credit_card,8.75,Feb-1998,10.0,0.0,20199.0,34.4,46.0,f,Individual,5.0,0.0,341xx,FL,  Borrower added on 12/11/12 > CREDIT CARD DEBT REFINANCE<br>
7100.0, 36 months,7.9,222.17,A,A4,RENT,18000.0,Verified,2012-04-01,1,major_purchase,8.53,Apr-2004,6.0,0.0,2931.0,19.7,10.0,f,Individual,0.0,0.0,346xx,FL,  Borrower added on 04/15/12 > vehicle purchase<br><br>  Borrower added on 04/15/12 > Buying RV selling larger Rv downsizing to smaller<br><br> Borrower added on 04/15/12 > Downsizing from larger Motor Home purchasing different RV<br>
35000.0, 60 months,17.27,874.93,C,C5,MORTGAGE,100000.0,Verified,2013-04-01,1,debt_consolidation,12.37,Jun-1999,15.0,0.0,28369.0,55.5,32.0,f,Individual,5.0,0.0,233xx,VA,  Borrower added on 03/30/13 > To consolidate our credit card debts and be able to pay them off in 5 years.<br>
