loan_amnt,term,int_rate,installment,grade,sub_grade,emp_length,home_ownership,annual_inc,verification_status,issue_d,loan_status,purpose,dti,earliest_cr_line,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,application_type,mort_acc,pub_rec_bankruptcies,zip_code,addr_state,desc,fico_range_low,fico_range_high,delinq_2yrs,inq_last_6mths,mths_since_last_delinq,acc_open_past_24mths,credit_history_years,has_past_delinq,total_pymnt,total_rec_prncp,total_rec_int,recoveries,collection_recovery_fee,funded_amnt
4125.0, 36 months,23.63,161.04,F,F3,2.0,RENT,15000.0,Verified,2013-04-01,1,debt_consolidation,13.6,2003-07-01,4.0,0.0,7091.0,83.4,4.0,f,Individual,0.0,0.0,762xx,TX,"  Borrower added on 03/25/13 > I need the loan to pay off some smaller credit cards, Pay off some personal loans I have with family and for car repairs for the only vehicle in my household.<br>",670.0,674.0,0.0,1.0,39.0,2.0,9.752224503764545,1,5549.420003175501,4125.0,1424.42,0.0,0.0,4125.0
8975.0, 36 months,9.67,288.21,B,B1,1.0,RENT,55000.0,Not Verified,2013-11-01,1,debt_consolidation,17.65,2000-06-01,9.0,0.0,14379.0,31.7,11.0,f,Individual,0.0,0.0,945xx,CA,  Borrower added on 11/06/13 > Relocation costs - plain and simple.<br>,710.0,714.0,0.0,1.0,999.0,5.0,13.418206707734429,0,10065.8199973912,8975.0,1090.82,0.0,0.0,8975.0
5500.0, 36 months,13.11,185.61,B,B4,7.0,MORTGAGE,114000.0,Verified,2013-01-01,1,car,12.95,2001-10-01,13.0,0.0,10155.0,59.4,37.0,w,Individual,5.0,0.0,953xx,CA,  Borrower added on 01/14/13 > This loan is to purchase a honda civic so I have a more fuel efficient car to drive to work in.<br>,680.0,684.0,1.0,3.0,15.0,11.0,11.252566735112936,1,6210.8243705017,5500.0,710.82,0.0,0.0,5500.0
20000.0, 36 months,6.62,614.08,A,A2,3.0,MORTGAGE,110000.0,Source Verified,2014-01-01,1,debt_consolidation,11.73,1998-09-01,13.0,0.0,31961.0,41.0,33.0,f,Individual,2.0,0.0,708xx,LA,  Borrower added on 01/16/14 > Consolidating higher interest debt<br>,725.0,729.0,0.0,2.0,999.0,5.0,15.3347022587269,0,22024.14,20000.0,2024.14,0.0,0.0,20000.0
18550.0, 36 months,15.8,650.34,C,C3,3.0,MORTGAGE,42000.0,Verified,2012-11-01,1,debt_consolidation,26.54,1999-05-01,18.0,0.0,17237.0,71.8,30.0,f,Individual,1.0,0.0,913xx,CA,  Borrower added on 10/29/12 > This loan is to consol credit cards<br>,685.0,689.0,0.0,1.0,999.0,6.0,13.505817932922655,0,19717.625051821404,18550.0,1167.63,0.0,0.0,18550.0
16500.0, 36 months,14.33,566.58,C,C1,10.0,RENT,72000.0,Verified,2012-12-01,1,debt_consolidation,13.12,1999-06-01,7.0,0.0,18454.0,85.0,20.0,f,Individual,0.0,0.0,900xx,CA,"  Borrower added on 12/10/12 > I would like to eliminate my debt in the next several years.  The first step is paying off and canceling my credit cards.  I have always been very responsible with my credit, and I have no late payments on my credit report.  I have too much credit extended to me and I would like to decrease it.<br>",680.0,684.0,0.0,0.0,999.0,2.0,13.503080082135524,0,17262.3714756567,16500.0,762.37,0.0,0.0,16500.0
11500.0, 36 months,10.16,371.94,B,B1,4.0,RENT,33000.0,Verified,2012-12-01,1,house,0.55,2004-08-01,6.0,0.0,18.0,0.2,19.0,f,Individual,0.0,0.0,325xx,FL,  Borrower added on 12/04/12 > I intend to buy a house which is not livable momentarily (has fire damage). I intend to fix it and live in it.<br>Thank you!<br>,745.0,749.0,0.0,1.0,37.0,0.0,8.334017796030116,1,11964.2246884352,11500.0,464.22,0.0,0.0,11500.0
12000.0, 36 months,6.03,365.23,A,A1,10.0,MORTGAGE,78000.0,Not Verified,2013-03-01,1,home_improvement,17.46,1984-06-01,12.0,0.0,58279.0,23.6,30.0,f,Individual,8.0,0.0,322xx,FL,  Borrower added on 03/20/13 > Upgrading pool pump and cleaning system to the newer energy saving models.  Hope to dramatically reduce electric bills during the summer months.  Will also have the deck and pool refinished.<br>,800.0,804.0,0.0,1.0,999.0,4.0,28.747433264887064,0,13148.137860798,12000.0,1148.14,0.0,0.0,12000.0
7000.0, 36 months,12.12,232.91,B,B3,2.0,MORTGAGE,48000.0,Verified,2012-08-01,1,debt_consolidation,15.03,2006-01-01,10.0,0.0,6842.0,48.5,19.0,f,Individual,1.0,0.0,958xx,CA,"  Borrower added on 07/19/12 > I had hard times couple years ago when I lost my previous job. The difference between my family needs and real income settled down on my credit cards. Now I have a good job, and I want to consolidate all my debts in one line to finally get rid of that burden.<br>",680.0,684.0,0.0,0.0,51.0,1.0,6.581793292265571,1,8384.400003316701,7000.0,1384.4,0.0,0.0,7000.0
9000.0, 36 months,18.75,328.77,D,D3,3.0,RENT,89000.0,Verified,2012-08-01,1,debt_consolidation,34.21,2004-02-01,23.0,0.0,7483.0,42.0,41.0,f,Individual,0.0,0.0,946xx,CA,  Borrower added on 07/14/12 > Debt Consolidation Loan<br>,690.0,694.0,0.0,0.0,44.0,10.0,8.498288843258042,1,10378.5862391634,9000.0,1378.59,0.0,0.0,9000.0
