model,condition,accuracy,precision_charged_off,recall_charged_off,f1_charged_off,auc,n_valid
XGBoost,structured,0.65,0.20588235294117646,0.4666666666666667,0.2857142857142857,,100
GPT-5.4,no_desc,0.81,0.375,0.4,0.3870967741935484,0.624313725490196,100
GPT-5.4,with_desc,0.78,0.3157894736842105,0.4,0.35294117647058826,0.6172549019607843,100
Claude Opus 4.8,no_desc,0.67,0.21875,0.4666666666666667,0.2978723404255319,,100
Claude Opus 4.8,with_desc,0.69,0.23333333333333334,0.4666666666666667,0.3111111111111111,,100
Claude Sonnet 4.6,with_desc,0.5,0.16981132075471697,0.6,0.2647058823529412,,100
Gemini 3.5 Flash,no_desc,0.63,0.21052631578947367,0.5333333333333333,0.3018867924528302,,100
Gemini 3.5 Flash,with_desc,0.64,0.21621621621621623,0.5333333333333333,0.3076923076923077,,100
Gemini 2.5 Pro,no_desc,0.55,0.21153846153846154,0.7333333333333333,0.3283582089552239,0.6101960784313726,100
Gemini 2.5 Pro,with_desc,0.64,0.2558139534883721,0.7333333333333333,0.3793103448275862,0.6803921568627451,100
