loan_index,value
0,6.0
1,5.0
2,2.0
3,3.0
4,5.0
5,2.0
6,3.0
7,2.0
8,6.0
9,5.0
10,5.0
11,5.0
12,3.0
13,2.0
14,4.0
15,5.0
16,3.0
17,6.0
18,3.0
19,3.0
20,4.0
21,5.0
22,7.0
23,5.0
24,5.0
25,6.0
26,5.0
27,3.0
28,6.0
29,2.0
30,6.0
31,4.0
32,3.0
33,3.0
34,5.0
35,6.0
36,5.0
37,6.0
38,5.0
39,5.0
40,3.0
41,3.0
42,4.0
43,5.0
44,4.0
45,5.0
46,5.0
47,6.0
48,9.0
49,5.0
50,2.0
51,5.0
52,5.0
53,3.0
54,4.0
55,7.0
56,5.0
57,6.0
58,5.0
59,3.0
60,4.0
61,5.0
62,3.0
63,5.0
64,3.0
65,5.0
66,5.0
67,5.0
68,4.0
69,5.0
70,5.0
71,7.0
72,6.0
73,2.0
74,4.0
75,5.0
76,4.0
77,4.0
78,5.0
79,5.0
80,6.0
81,5.0
82,6.0
83,6.0
84,5.0
85,4.0
86,5.0
87,3.0
88,5.0
89,5.0
90,3.0
91,2.0
92,5.0
93,5.0
94,6.0
95,4.0
96,4.0
97,5.0
98,6.0
99,8.0
