loan_index,value
0,2.0
1,6.0
2,5.0
3,3.0
4,5.0
5,3.0
6,2.0
7,9.0
8,3.0
9,6.0
10,6.0
11,3.0
12,3.0
13,3.0
14,2.0
15,9.0
16,4.0
17,5.0
18,5.0
19,5.0
20,5.0
21,3.0
22,5.0
23,5.0
24,5.0
25,5.0
26,4.0
27,3.0
28,4.0
29,4.0
30,7.0
31,6.0
32,5.0
33,2.0
34,6.0
35,6.0
36,6.0
37,3.0
38,4.0
39,5.0
40,8.0
41,3.0
42,3.0
43,6.0
44,5.0
45,2.0
46,3.0
47,3.0
48,5.0
49,5.0
50,7.0
51,8.0
52,5.0
53,7.0
54,7.0
55,5.0
56,5.0
57,3.0
58,2.0
59,6.0
60,5.0
61,5.0
62,5.0
63,5.0
64,5.0
65,5.0
66,6.0
67,3.0
68,8.0
69,5.0
70,3.0
71,5.0
72,3.0
73,6.0
74,8.0
75,3.0
76,5.0
77,5.0
78,5.0
79,8.0
80,6.0
81,2.0
82,4.0
83,4.0
84,2.0
85,5.0
86,5.0
87,4.0
88,4.0
89,4.0
90,5.0
91,3.0
92,8.0
93,5.0
94,2.0
95,5.0
96,2.0
97,2.0
98,5.0
99,3.0
