variant,description,with_desc,accuracy,precision_charged_off,recall_charged_off,f1_charged_off,n_valid
baseline,Current production prompt — control group,No,0.55,0.2,0.667,0.308,100
baseline,Current production prompt — control group,Yes,0.68,0.242,0.533,0.333,100
conservative,Risk-averse underwriter; bias toward flagging defaults when uncertain,No,0.55,0.212,0.733,0.328,100
conservative,Risk-averse underwriter; bias toward flagging defaults when uncertain,Yes,0.52,0.189,0.667,0.294,100
chain_of_thought,Explicit step-by-step reasoning through risk factors before prediction,No,0.58,0.2,0.6,0.3,100
chain_of_thought,Explicit step-by-step reasoning through risk factors before prediction,Yes,0.69,0.1,0.133,0.114,100
top_features_only,Only the 8 most important features by XGBoost importance are passed in,No,0.57,0.241,0.867,0.377,100
top_features_only,Only the 8 most important features by XGBoost importance are passed in,Yes,0.67,0.219,0.467,0.298,100
structured_4factor,Explicit 4-factor evaluation framework in the system prompt,No,0.62,0.22,0.6,0.321,100
structured_4factor,Explicit 4-factor evaluation framework in the system prompt,Yes,0.67,0.179,0.333,0.233,100
