model,batch,accuracy,precision_charged_off,recall_charged_off,f1_charged_off,auc
RAG-C (hybrid RRF),robustness,0.76,0.10526315789473684,0.2222222222222222,0.14285714285714285,0.5158730158730158
RAG-C (hybrid RRF),tuning,0.75,0.1875,0.2,0.1935483870967742,0.516078431372549
RAG-C (hybrid RRF),pooled,0.755,0.14285714285714285,0.20833333333333334,0.1694915254237288,0.5120738636363636
RAG-A (SemanticID+multistage),robustness,0.8,0.0769230769230769,0.1111111111111111,0.0909090909090909,0.485958485958486
RAG-A (SemanticID+multistage),tuning,0.77,0.25,0.2666666666666666,0.2580645161290322,0.5807843137254902
RAG-A (SemanticID+multistage),pooled,0.785,0.1724137931034483,0.2083333333333333,0.1886792452830188,0.5471117424242424
RAG-B (full-corpus kNN),robustness,0.74,0.0952380952380952,0.2222222222222222,0.1333333333333333,0.4993894993894994
RAG-B (full-corpus kNN),tuning,0.79,0.2,0.1333333333333333,0.16,0.5498039215686275
RAG-B (full-corpus kNN),pooled,0.765,0.1290322580645161,0.1666666666666666,0.1454545454545454,0.5203598484848485
LLM no-RAG,robustness,0.81,0.14285714285714285,0.2222222222222222,0.17391304347826086,0.5311355311355311
XGBoost,robustness,0.61,0.03125,0.1111111111111111,0.04878048780487805,0.42612942612942617
LLM no-RAG,tuning,0.82,0.4,0.4,0.4,0.6294117647058823
XGBoost,tuning,0.69,0.23333333333333334,0.4666666666666667,0.3111111111111111,0.6596078431372548
LLM no-RAG,pooled,0.815,0.27586206896551724,0.3333333333333333,0.3018867924528302,0.5913825757575757
XGBoost,pooled,0.65,0.12903225806451613,0.3333333333333333,0.18604651162790697,0.5643939393939394
