feature,mean_abs_shap,rank
int_rate,0.33618924021720886,1
term,0.22445708513259888,2
annual_inc,0.2020375281572342,3
acc_open_past_24mths,0.16220086812973022,4
fico_range_low,0.08957763016223907,5
home_ownership,0.08794295974075794,6
loan_amnt,0.0869569331407547,7
dti,0.08068811148405075,8
revol_bal,0.05564376711845398,9
revol_util,0.0499081090092659,10
inq_last_6mths,0.046500977128744125,11
total_acc,0.04209425300359726,12
open_acc,0.04049769416451454,13
purpose,0.03922311238056864,14
mort_acc,0.039214394986629486,15
credit_history_years,0.03682584688067436,16
sub_grade,0.03654072120843921,17
verification_status,0.036194780841469765,18
mths_since_last_delinq,0.032174259424209595,19
installment,0.03048102557659149,20
emp_length,0.028549712151288986,21
fico_range_high,0.0252110306173563,22
initial_list_status,0.011315525509417057,23
pub_rec,0.0063774799928069115,24
pub_rec_bankruptcies,0.00476792361587286,25
delinq_2yrs,0.004297664389014244,26
has_past_delinq,0.002808935707435012,27
application_type,0.0,28
earliest_cr_line,0.0,29
grade,0.0,30
